genes,gene_short_name
UMPS,UMPS
UPF2,UPF2
UPF3A,UPF3A
UQCC2,UQCC2
UQCR10,UQCR10
UQCR11,UQCR11
UQCRB,UQCRB
UQCRC1,UQCRC1
UQCRC2,UQCRC2
UQCRH,UQCRH
UQCRQ,UQCRQ
USF3,USF3
USHBP1,USHBP1
USO1,USO1
USP14,USP14
USP15,USP15
USP16,USP16
USP22,USP22
USP3,USP3
USP31,USP31
USP33,USP33
USP34,USP34
USP4,USP4
USP47,USP47
USP49,USP49
USP53,USP53
USP54,USP54
USP6NL,USP6NL
USP7,USP7
USP8,USP8
USP9X,USP9X
UTP11,UTP11
UTP20,UTP20
UTP6,UTP6
UVRAG,UVRAG
UVSSA,UVSSA
VAMP8,VAMP8
VAPA,VAPA
VASP,VASP
VCL,VCL
VCP,VCP
VDAC1,VDAC1
VDAC2,VDAC2
VDAC3,VDAC3
VEGFA,VEGFA
VEZT,VEZT
VGLL3,VGLL3
VGLL4,VGLL4
VHL,VHL
VIM,VIM
VIRMA,VIRMA
VMP1,VMP1
VPS13A,VPS13A
VPS13B,VPS13B
VPS13C,VPS13C
VPS26C,VPS26C
VPS29,VPS29
VPS33A,VPS33A
VPS35,VPS35
VPS35L,VPS35L
VPS36,VPS36
VPS37B,VPS37B
VPS4B,VPS4B
VPS53,VPS53
VRK3,VRK3
VTA1,VTA1
VTI1A,VTI1A
WAC,WAC
WAPL,WAPL
WARS,WARS
WASF2,WASF2
WASHC4,WASHC4
WBP11,WBP11
WBP1L,WBP1L
WBP2,WBP2
WDPCP,WDPCP
WDR1,WDR1
WDR11,WDR11
WDR12,WDR12
WDR13,WDR13
WDR19,WDR19
WDR26,WDR26
WDR3,WDR3
WDR31,WDR31
WDR43,WDR43
WDR45B,WDR45B
WDR55,WDR55
WDR59,WDR59
WDR62,WDR62
WDR66,WDR66
WDR73,WDR73
WDR74,WDR74
WDR83OS,WDR83OS
WDR90,WDR90
WEE1,WEE1
WFDC1,WFDC1
WFDC2,WFDC2
WHAMM,WHAMM
WIPF2,WIPF2
WIPI1,WIPI1
WIPI2,WIPI2
WNK1,WNK1
WSB1,WSB1
WSB2,WSB2
WTAP,WTAP
WTIP,WTIP
WWTR1,WWTR1
XAF1,XAF1
XBP1,XBP1
XIAP,XIAP
XPNPEP3,XPNPEP3
XPO1,XPO1
XPO5,XPO5
XPOT,XPOT
XRCC2,XRCC2
XRCC5,XRCC5
XRCC6,XRCC6
XRN1,XRN1
XRN2,XRN2
XRRA1,XRRA1
XYLT2,XYLT2
YAF2,YAF2
YAP1,YAP1
YARS,YARS
YBX1,YBX1
YBX3,YBX3
YIPF3,YIPF3
YIPF4,YIPF4
YIPF5,YIPF5
YIPF6,YIPF6
YLPM1,YLPM1
YME1L1,YME1L1
YPEL5,YPEL5
YTHDC1,YTHDC1
YTHDF2,YTHDF2
YWHAB,YWHAB
YWHAE,YWHAE
YWHAG,YWHAG
YWHAH,YWHAH
YWHAQ,YWHAQ
YWHAZ,YWHAZ
YY1,YY1
ZADH2,ZADH2
ZBED5,ZBED5
ZBTB20,ZBTB20
ZBTB25,ZBTB25
ZBTB37,ZBTB37
ZBTB38,ZBTB38
ZBTB43,ZBTB43
ZBTB44,ZBTB44
ZBTB8A,ZBTB8A
ZBTB8B,ZBTB8B
ZBTB8OS,ZBTB8OS
ZC3H11A,ZC3H11A
ZC3H13,ZC3H13
ZC3H14,ZC3H14
ZC3H15,ZC3H15
ZC3H4,ZC3H4
ZC3H6,ZC3H6
ZC3H7A,ZC3H7A
ZC3H8,ZC3H8
ZC3HAV1,ZC3HAV1
ZCCHC2,ZCCHC2
ZCCHC8,ZCCHC8
ZDHHC24,ZDHHC24
ZEB2,ZEB2
ZFAND5,ZFAND5
ZFAND6,ZFAND6
ZFC3H1,ZFC3H1
ZFHX3,ZFHX3
ZFP14,ZFP14
ZFP36L1,ZFP36L1
ZFP36L2,ZFP36L2
ZFP82,ZFP82
ZFR,ZFR
ZFX,ZFX
ZFYVE16,ZFYVE16
ZFYVE26,ZFYVE26
ZKSCAN1,ZKSCAN1
ZMAT3,ZMAT3
ZMPSTE24,ZMPSTE24
ZMYM2,ZMYM2
ZMYM6,ZMYM6
ZMYND8,ZMYND8
ZNF101,ZNF101
ZNF106,ZNF106
ZNF121,ZNF121
ZNF131,ZNF131
ZNF148,ZNF148
ZNF19,ZNF19
ZNF195,ZNF195
ZNF207,ZNF207
ZNF224,ZNF224
ZNF24,ZNF24
ZNF26,ZNF26
ZNF264,ZNF264
ZNF266,ZNF266
ZNF268,ZNF268
ZNF273,ZNF273
ZNF28,ZNF28
ZNF283,ZNF283
ZNF286A,ZNF286A
ZNF292,ZNF292
ZNF3,ZNF3
ZNF320,ZNF320
ZNF326,ZNF326
ZNF331,ZNF331
ZNF333,ZNF333
ZNF347,ZNF347
ZNF354B,ZNF354B
ZNF37A,ZNF37A
ZNF37BP,ZNF37BP
ZNF382,ZNF382
ZNF383,ZNF383
ZNF395,ZNF395
ZNF397,ZNF397
ZNF414,ZNF414
ZNF419,ZNF419
ZNF426,ZNF426
ZNF430,ZNF430
ZNF431,ZNF431
ZNF440,ZNF440
ZNF442,ZNF442
ZNF445,ZNF445
ZNF451,ZNF451
ZNF462,ZNF462
ZNF468,ZNF468
ZNF470,ZNF470
ZNF471,ZNF471
ZNF480,ZNF480
ZNF483,ZNF483
ZNF490,ZNF490
ZNF493,ZNF493
ZNF500,ZNF500
ZNF506,ZNF506
ZNF519,ZNF519
ZNF527,ZNF527
ZNF529,ZNF529
ZNF532,ZNF532
ZNF544,ZNF544
ZNF554,ZNF554
ZNF555,ZNF555
ZNF556,ZNF556
ZNF557,ZNF557
ZNF558,ZNF558
ZNF561,ZNF561
ZNF562,ZNF562
ZNF568,ZNF568
ZNF570,ZNF570
ZNF587,ZNF587
ZNF605,ZNF605
ZNF609,ZNF609
ZNF611,ZNF611
ZNF621,ZNF621
ZNF626,ZNF626
ZNF638,ZNF638
ZNF639,ZNF639
ZNF644,ZNF644
ZNF652,ZNF652
ZNF655,ZNF655
ZNF665,ZNF665
ZNF674,ZNF674
ZNF675,ZNF675
ZNF677,ZNF677
ZNF7,ZNF7
ZNF70,ZNF70
ZNF706,ZNF706
ZNF708,ZNF708
ZNF713,ZNF713
ZNF714,ZNF714
ZNF761,ZNF761
ZNF765,ZNF765
ZNF766,ZNF766
ZNF774,ZNF774
ZNF785,ZNF785
ZNF791,ZNF791
ZNF793,ZNF793
ZNF8,ZNF8
ZNF814,ZNF814
ZNF829,ZNF829
ZNF83,ZNF83
ZNF844,ZNF844
ZNF850,ZNF850
ZNF875,ZNF875
ZNF891,ZNF891
ZNF91,ZNF91
ZNFX1,ZNFX1
ZNHIT1,ZNHIT1
ZNHIT3,ZNHIT3
ZPR1,ZPR1
ZRANB2,ZRANB2
ZSCAN30,ZSCAN30
ZSWIM7,ZSWIM7
ZSWIM8,ZSWIM8
ZYG11B,ZYG11B
ZZZ3,ZZZ3
